artist_id,name,platform_links,genre,created_at
38,Francisco Oliva,https://www.instagram.com/franciscooliva_/,"Regional Mexicano, Corridos, Rap",2024-09-18 22:40:32.942107+00
39,La Zona X,https://www.instagram.com/lazonax_/,"Regional Mexicano, Norteño",2024-09-18 22:44:32.154432+00
40,Jorge Luis Mancillas,https://www.instagram.com/jlmancillas/,"Regional Mexicano, Norteño",2024-09-18 22:48:41.952564+00
41,Humberto Tierra Cali,https://www.instagram.com/tierracalihumberto/,Regional Mexicano,2024-09-18 22:53:06.468195+00
42,Victor Noriega,https://www.instagram.com/vicnoriegaoblimon/,"Regional Mexicano, Norteño",2024-09-18 22:57:12.085723+00
43,Autenticos Reyes De Jerez,https://www.instagram.com/autenticosreyesoficial/,"Regional Mexicano, Norteño",2024-09-18 23:03:38.774442+00
44,Cesar Mondragon,https://www.instagram.com/cesar_blackout/,Regional Mexicano,2024-09-18 23:08:37.589626+00
45,Angel Cano,https://www.instagram.com/angelg_cano/,Regional Mexicano,2024-09-18 23:11:58.244999+00
46,Banda Machos,"https://www.facebook.com/BandaMachosUsaInc, https://www.instagram.com/bandamachosoficial/, https://www.tiktok.com/@bandamachos_","Regional Mexicano, Banda, Norteño",2024-09-18 23:15:32.861357+00
47,Alex V,https://www.instagram.com/alexv.av/,Regional Mexicano,2024-09-18 23:18:15.646166+00
48,Daniel Avalos,https://www.instagram.com/daaniel_avalos/,Regional Mexicano,2024-09-18 23:20:20.744603+00
49,Carlos Saucedo y Regados,https://www.instagram.com/carlossaucedo_yregados/,"Regional Mexicano, Norteño, Banda",2024-09-18 23:22:24.90843+00
50,Leo Peña,https://www.instagram.com/leopenaoficial/,Regional Mexicano,2024-09-18 23:24:18.098228+00
51,Tercia de reyes y su tuba loca,https://www.instagram.com/terciadereyesysutubaloca/,"Regional Mexicano, Banda, Norteño",2024-09-18 23:28:36.791379+00
52,Banda La Prendida,https://www.instagram.com/bandalaprendida/,"Regional Mexicano, Banda, Norteño",2024-09-18 23:30:43.919429+00
53,Eduin Caz,"https://www.facebook.com/Eduincazoficial1, https://www.instagram.com/eduincaz/, https://www.tiktok.com/@eduincaz5",Regional Mexicano,2024-09-19 15:59:34.550448+00
54,Andrea Nuñez hh,"https://www.facebook.com/andrea.berenicen, https://www.instagram.com/andreanunez_mx/, https://www.tiktok.com/@andreanunez_mx","Regional Mexicano, Pop",2024-09-19 21:55:25.545338+00
55,Julio Haro,https://www.instagram.com/julioharooficial/,"Regional Mexicano, Banda, Norteño",2024-09-19 22:19:27.253408+00
56,Banda MS,"https://www.facebook.com/BANDAMSOFICIAL, https://www.instagram.com/bandamsoficial/, https://www.tiktok.com/@banda_ms","Regional Mexicano, Banda, Norteño",2024-09-19 22:47:36.149161+00
57,Javier Larrañaga,"https://www.facebook.com/javierlarranagaofficial, https://www.instagram.com/javierlarranaga/, https://www.tiktok.com/@javierlarranagaofficial",Regional Mexicano,2024-09-19 22:54:29.992346+00
58,Adrian Bugarin,https://www.instagram.com/adrian.bugarin.c/,Regional Mexicano,2024-09-19 22:59:35.045992+00
59,Jonatan Sanchez,"https://www.facebook.com/JonatanSanchezMusic, https://www.instagram.com/jonatansanchez/, ",Regional Mexicano,2024-09-19 23:04:16.875352+00
60,Angel Arrioja,https://www.instagram.com/elarrioja/,Regional Mexicano,2024-09-19 23:06:35.692104+00
61,Ana Barbara,"https://facebook.com/AnaBarbaraMusic, https://www.instagram.com/anabarbaramusic/, https://www.tiktok.com/@anabarbaraoficial",Regional Mexicano,2024-09-19 23:11:07.78115+00
62,Larry Hernandez,"https://www.facebook.com/larry.hernandez, https://www.instagram.com/larryhernandez/, https://www.tiktok.com/@larrymania",Regional Mexicano,2024-09-19 23:13:39.987786+00
63,Ulises Ronces,"https://www.instagram.com/ulises_ronces/, https://www.tiktok.com/@ulisesronces",Regional Mexicano,2024-09-19 23:15:45.146785+00
64,Francisco El Gallo Elizalde,"https://www.facebook.com/FranciscoElizaldeOficial, https://www.instagram.com/gallo_elizalde/, https://www.tiktok.com/@gallo_elizalde",Regional Mexicano,2024-09-19 23:20:27.886089+00
66,Luis R Conriquez,"https://www.facebook.com/profile.php?id=100050488239777, https://www.instagram.com/luisrconriquezoficial/, https://www.tiktok.com/search?q=Luis%20R%20Conriquez&t=1726788118710",Regional Mexicano,2024-09-19 23:24:21.692308+00
67,Grupo Firme,"https://www.facebook.com/GrupoFirmeOficial, https://www.instagram.com/grupofirme/, https://www.tiktok.com/@grupofirme",Regional Mexicano,2024-09-27 21:44:48.753346+00
68,Carin Leon,"https://www.facebook.com/carinleonoficial, https://www.instagram.com/carinleonoficial/, https://www.tiktok.com/@carinleonoficial","Regional Mexicano, Corridos",2024-10-01 22:38:29.626733+00
